Thu. Apr.  4, 2013             LANDSAT 5                 Time: 13:59
                         Image Assessment System
                           GCP Residual Report
----------------------------------------------------------------------------
WOID: L6687738            Path/Row: 180 / 033

L0R Reference Image: L51XXX1084164082100_HDF.130941836
Acquisition Date: Jun 12, 1984

Band Number:  5

GeoCover date for each WRS-2 path/row used:
Path  Row   Date
180   033   2000-06-16


Point_ID      Latitude  Longitude    Height       Across    Along    Residual  Residual
                                                   Scan      Scan      In y      in x
                                                 Residual  Residual    dir       dir
                (deg)     (deg)     (meters)     (meters)  (meters)  (meters)  (meters)

1800330001   38.440057   28.942963   866.866       1.354    -4.783     2.149    -4.472
1800330004   39.266694   27.556187   204.856       5.793     0.525     5.614     1.503
1800330005   38.737072   28.444312   289.879       5.730    -6.183     6.698    -5.106
1800330006   38.065002   28.813657   871.024      -2.112     1.641    -2.359     1.252
1800330007   38.659542   27.221826   261.763       4.878     1.430     4.558     2.241
1800330008   38.892269   29.160335  1079.259      -0.210    -0.164    -0.180    -0.196
1800330009   38.849862   28.910509  1146.344      -1.914    -0.651    -1.772    -0.967
1800330012   38.499939   28.934595   841.453       3.576     2.558     3.079     3.130
1800330013   38.984752   27.424083   755.030      -4.426     0.493    -4.437    -0.269
1800330014   38.827706   27.333289   497.720      -2.766     1.769    -3.023     1.268
1800330016   38.787889   27.049165    76.466       3.915     1.404     3.615     2.050
1800330017   38.768249   27.208349   343.531      -1.695    -0.388    -1.601    -0.671
1800330020   38.942386   27.188433   504.087      -1.917    -5.594    -0.929    -5.832
1800330021   38.694445   28.415169   279.537       0.179     1.141    -0.019     1.154
1800330022   38.867226   28.923076  1108.700      -2.182    -3.371    -1.572    -3.687
1800330023   38.274328   28.392571  1355.232      -2.531    -3.638    -1.865    -4.008
1800330024   38.466346   27.151768    49.934       6.448    -2.825     6.834    -1.678
1800330025   38.866089   29.113903  1102.990       0.301     0.511     0.208     0.554
1800330026   38.660107   28.346914   285.310       1.319     0.036     1.292     0.262
1800330027   38.727481   28.410644   284.751       3.249    -4.328     3.938    -3.705
1800330028   38.635093   28.335761   287.905       3.050     0.114     2.983     0.634
1800330029   39.164033   28.113406  1107.985       3.827     6.516     2.653     7.059
