==============================================================================
==============================================================================
Thu. Apr. 4 2013                  LANDSAT 7                       Time: 19:09
                            Image Assessment System
                            GEOMETRIC VERIFY Report
==============================================================================
Order ID: 0101304048741_00004                          Path / Row - 180 / 33
Reference Image: L51XXX1084164082100_HDF.L1G

Color mapping per rank
----------------------
Rank  1 is Green: total residual <= 0.5
Rank  2 is Cyan: 0.5 < total residual <=  1
Rank  3 is Blue:  1 < total residual <=  2
Rank  4 is Yellow:  2 < total residual <=  3
Rank  5 is Red:  3 < total residual

Percentage of residuals by rank
-------------------------------
Rank   1 -- 100.0%
Rank   2 --  0.0%
Rank   3 --  0.0%
Rank   4 --  0.0%
Rank   5 --  0.0%

       GCP    Latitude    Longitude  Sample   Line     Total    Rank
        ID                           Residual Residual Residual
              (Degree)    (Degree)   (Pixel)  (Pixel)  (Pixel)
----------------------------------------------------------------------
1800330092   39.81078     27.44278    -0.19      0.11     0.22     1 
1800330095   39.81032     27.55108    -0.07      0.02     0.08     1 
1800330096   39.81014     27.58718    -0.20      0.06     0.21     1 
1800330166   39.78578     27.40654    -0.22      0.10     0.25     1 
1800330167   39.78565     27.44262    -0.14      0.13     0.19     1 
1800330168   39.78550     27.47871    -0.21     -0.05     0.21     1 
1800330169   39.78535     27.51479    -0.06     -0.16     0.17     1 
1800330170   39.78518     27.55088    -0.14     -0.09     0.17     1 
1800330171   39.78500     27.58696    -0.31      0.01     0.31     1 
1800330172   39.78482     27.62305    -0.30      0.13     0.33     1 
1800330173   39.78462     27.65913    -0.33      0.01     0.33     1 
1800330174   39.78441     27.69522    -0.16     -0.04     0.17     1 
1800330175   39.78419     27.73130     0.04     -0.16     0.17     1 
1800330176   39.78395     27.76738    -0.09      0.13     0.16     1 
1800330177   39.78371     27.80347     0.16     -0.23     0.28     1 
1800330239   39.76087     27.33424    -0.05     -0.14     0.15     1 
1800330240   39.76076     27.37031    -0.03      0.08     0.09     1 
1800330241   39.76064     27.40639    -0.21     -0.01     0.21     1 
1800330242   39.76051     27.44246    -0.13     -0.06     0.15     1 
1800330243   39.76036     27.47853    -0.13     -0.01     0.13     1 
1800330244   39.76021     27.51461    -0.15      0.07     0.16     1 
1800330245   39.76004     27.55068    -0.12      0.15     0.20     1 
1800330246   39.75987     27.58675    -0.27      0.07     0.28     1 
1800330248   39.75948     27.65889    -0.17      0.12     0.21     1 
1800330249   39.75927     27.69496    -0.10     -0.06     0.11     1 
1800330251   39.75882     27.76711    -0.22      0.00     0.22     1 
1800330252   39.75857     27.80317     0.12     -0.19     0.23     1 
1800330253   39.75832     27.83924    -0.18      0.09     0.20     1 
1800330255   39.75777     27.91138    -0.12     -0.25     0.27     1 
1800330256   39.75748     27.94745    -0.28     -0.03     0.28     1 
1800330257   39.75718     27.98352    -0.17     -0.11     0.20     1 
1800330314   39.73573     27.33412    -0.06     -0.07     0.09     1 
1800330315   39.73562     27.37018     0.10     -0.16     0.19     1 
1800330316   39.73550     27.40624     0.27      0.08     0.28     1 
1800330318   39.73523     27.47836     0.04     -0.20     0.20     1 
1800330319   39.73507     27.51442    -0.05     -0.15     0.16     1 
1800330320   39.73491     27.55048    -0.21      0.15     0.26     1 
1800330321   39.73473     27.58654    -0.16      0.05     0.16     1 
1800330322   39.73454     27.62260    -0.07     -0.12     0.14     1 
1800330323   39.73434     27.65865     0.17     -0.14     0.22     1 
1800330324   39.73413     27.69471    -0.15     -0.03     0.16     1 
1800330325   39.73391     27.73077    -0.20      0.04     0.21     1 
1800330328   39.73318     27.83894    -0.03     -0.02     0.03     1 
1800330329   39.73291     27.87499    -0.05     -0.14     0.15     1 
1800330330   39.73264     27.91105    -0.06     -0.31     0.32     1 
1800330331   39.73235     27.94711    -0.21      0.04     0.21     1 
1800330332   39.73205     27.98316     0.18      0.07     0.19     1 
1800330334   39.73142     28.05526    -0.10      0.11     0.15     1 
1800330335   39.73108     28.09132    -0.10      0.07     0.12     1 
1800330336   39.73074     28.12737    -0.02     -0.08     0.08     1 
1800330389   39.71059     27.33400    -0.08     -0.10     0.13     1 
1800330390   39.71048     27.37005     0.33     -0.01     0.33     1 
1800330392   39.71023     27.44214     0.01      0.02     0.03     1 
1800330393   39.71009     27.47819    -0.11      0.06     0.12     1 
1800330394   39.70994     27.51423    -0.13      0.15     0.20     1 
1800330395   39.70977     27.55028    -0.21      0.28     0.35     1 
