Fri. Mar.  1, 2013             LANDSAT 5                 Time: 02:34
                         Image Assessment System
                           GCP Residual Report
----------------------------------------------------------------------------
WOID: L6294622            Path/Row: 181 / 033

L0R Reference Image: L51XXX1090219080100_HDF.130600820
Acquisition Date: Aug 07, 1990

Band Number:  5

GeoCover date for each WRS-2 path/row used:
Path  Row   Date
181   033   2000-06-07


Point_ID      Latitude  Longitude    Height       Across    Along    Residual  Residual
                                                   Scan      Scan      In y      in x
                                                 Residual  Residual    dir       dir
                (deg)     (deg)     (meters)     (meters)  (meters)  (meters)  (meters)

1810330001   38.612627   26.542511    49.861       1.549    -1.874     1.872    -1.551
1810330002   38.178230   26.496601    53.493       1.925    -0.604     2.004    -0.232
1810330004   38.268036   26.251121    46.162       1.524     5.942     0.383     6.120
1810330005   38.421815   26.739610    47.548      -4.087     4.681    -4.889     3.831
1810330006   38.155619   26.520726    48.851      -0.719     1.939    -1.069     1.769
1810330007   39.788640   26.061467    51.409       4.643     0.353     4.493     1.210
1810330008   38.120562   26.543886    52.480      -0.742    -1.693    -0.411    -1.802
1810330009   38.220466   25.908209    45.178      -0.027    -5.012     0.912    -4.928
1810330010   38.279498   26.111405    61.049      -0.358     3.712    -1.048     3.579
1810330012   39.284657   25.981966    46.000       2.220    -2.008     2.554    -1.558
1810330013   38.427436   27.132439    48.919      -1.773     3.819    -2.454     3.417
1810330015   39.113644   26.560109    50.174       2.864    -3.132     3.398    -2.541
1810330016   38.387945   26.272901    44.000      -5.268    -0.489    -5.082    -1.466
1810330017   38.213360   26.740354    50.392      -0.105     0.781    -0.249     0.747
1810330018   38.663354   26.517706    50.866       0.238     1.235     0.003     1.257
1810330019   39.008566   26.780784    47.466       1.676     0.361     1.578     0.668
1810330021   38.208826   26.097530    54.198       2.704    -0.357     2.722     0.156
1810330023   38.332084   26.385700    48.286       0.136     1.081    -0.069     1.087
1810330024   38.930880   27.088375   188.012       2.978     3.891     2.198     4.377
1810330025   38.359161   26.296538    48.925       0.612    -2.496     1.069    -2.337
1810330026   38.204308   26.687276    51.607      -0.741     5.207    -1.703     4.974
1810330027   39.289302   26.620933    48.913      -1.655     1.480    -1.901     1.144
