==============================================================================
==============================================================================
Fri. Mar. 1 2013                  LANDSAT 7                       Time: 08:44
                            Image Assessment System
                            GEOMETRIC VERIFY Report
==============================================================================
Order ID: 0101303019858_00003                          Path / Row - 181 / 33
Reference Image: L51XXX1090219080100_HDF.L1G

Color mapping per rank
----------------------
Rank  1 is Green: total residual <= 0.5
Rank  2 is Cyan: 0.5 < total residual <=  1
Rank  3 is Blue:  1 < total residual <=  2
Rank  4 is Yellow:  2 < total residual <=  3
Rank  5 is Red:  3 < total residual

Percentage of residuals by rank
-------------------------------
Rank   1 -- 100.0%
Rank   2 --  0.0%
Rank   3 --  0.0%
Rank   4 --  0.0%
Rank   5 --  0.0%

       GCP    Latitude    Longitude  Sample   Line     Total    Rank
        ID                           Residual Residual Residual
              (Degree)    (Degree)   (Pixel)  (Pixel)  (Pixel)
----------------------------------------------------------------------
1810330096   39.81686     25.97871     0.00      0.11     0.11     1 
1810330097   39.81718     26.01516    -0.09      0.25     0.27     1 
1810330173   39.79181     26.05196    -0.20      0.24     0.31     1 
1810330176   39.79265     26.16127    -0.19     -0.36     0.41     1 
1810330177   39.79291     26.19771     0.03      0.33     0.33     1 
1810330251   39.76697     26.16158    -0.02      0.09     0.09     1 
1810330252   39.76723     26.19801     0.03      0.09     0.10     1 
1810330254   39.76771     26.27086     0.06     -0.09     0.11     1 
1810330255   39.76793     26.30728     0.12      0.20     0.24     1 
1810330326   39.74130     26.16190    -0.27      0.05     0.28     1 
1810330327   39.74155     26.19831    -0.07      0.07     0.10     1 
1810330328   39.74180     26.23472    -0.07     -0.17     0.19     1 
1810330329   39.74203     26.27113    -0.09     -0.33     0.34     1 
1810330330   39.74226     26.30754    -0.07     -0.09     0.11     1 
1810330331   39.74247     26.34395     0.27      0.11     0.29     1 
1810330332   39.74267     26.38037     0.03      0.19     0.19     1 
1810330333   39.74286     26.41678     0.03      0.06     0.07     1 
1810330401   39.71562     26.16221    -0.08     -0.19     0.21     1 
1810330402   39.71588     26.19860    -0.11     -0.03     0.12     1 
1810330403   39.71612     26.23500    -0.19     -0.07     0.20     1 
1810330404   39.71636     26.27140    -0.05      0.06     0.08     1 
1810330405   39.71658     26.30780     0.07      0.02     0.07     1 
1810330406   39.71679     26.34420    -0.15     -0.02     0.15     1 
1810330407   39.71699     26.38060    -0.08     -0.01     0.08     1 
1810330408   39.71718     26.41700     0.12     -0.05     0.13     1 
1810330410   39.71752     26.48980     0.06      0.04     0.07     1 
1810330411   39.71767     26.52620    -0.01      0.01     0.02     1 
1810330412   39.71782     26.56260     0.01     -0.04     0.05     1 
1810330413   39.71795     26.59900     0.12      0.09     0.14     1 
1810330414   39.71807     26.63540     0.08      0.07     0.10     1 
1810330415   39.71818     26.67180     0.01      0.01     0.02     1 
1810330416   39.71827     26.70820     0.07      0.05     0.09     1 
1810330476   39.68994     26.16252    -0.16     -0.04     0.17     1 
1810330477   39.69020     26.19890     0.05      0.02     0.06     1 
1810330478   39.69044     26.23529    -0.02      0.16     0.16     1 
1810330479   39.69068     26.27167     0.15      0.10     0.18     1 
1810330480   39.69090     26.30805     0.07     -0.10     0.12     1 
1810330481   39.69111     26.34444     0.06      0.17     0.18     1 
1810330483   39.69150     26.41721    -0.04      0.09     0.10     1 
1810330485   39.69184     26.48998     0.04      0.12     0.12     1 
1810330486   39.69200     26.52637    -0.13      0.13     0.18     1 
1810330487   39.69214     26.56276    -0.08     -0.01     0.08     1 
1810330488   39.69227     26.59915     0.08     -0.07     0.11     1 
1810330489   39.69239     26.63553    -0.16     -0.03     0.16     1 
1810330491   39.69260     26.70831    -0.27     -0.23     0.36     1 
1810330492   39.69268     26.74470     0.03      0.04     0.05     1 
1810330493   39.69276     26.78109     0.14     -0.04     0.15     1 
1810330494   39.69282     26.81747     0.17      0.11     0.20     1 
1810330495   39.69287     26.85386     0.14      0.10     0.17     1 
1810330496   39.69291     26.89025     0.12      0.17     0.21     1 
1810330497   39.69294     26.92664     0.27      0.20     0.34     1 
1810330552   39.66452     26.19920     0.05      0.09     0.10     1 
1810330553   39.66477     26.23557     0.01      0.01     0.02     1 
1810330554   39.66500     26.27194    -0.00      0.13     0.13     1 
1810330555   39.66522     26.30831     0.03      0.07     0.08     1 
1810330556   39.66544     26.34468     0.04      0.04     0.05     1 
1810330557   39.66563     26.38105     0.07     -0.06     0.09     1 
